Date,EFA,GLD,IWM,QQQ,SPY,TLT
2018-01-02,54.73714065551758,125.1500015258789,138.19395446777344,150.05723571777344,235.9542694091797,97.57400512695312
2018-01-03,54.99988555908203,124.81999969482422,138.33763122558594,151.5153045654297,237.44674682617188,98.04052734375
2018-01-04,55.602657318115234,125.45999908447266,138.70579528808594,151.78036499023438,238.44757080078125,98.02495574951172
2018-01-05,55.911766052246094,125.33000183105469,138.9931640625,153.30471801757812,240.03656005859375,97.74500274658203
2018-01-08,55.89632034301758,125.30999755859375,139.20864868164062,153.90127563476562,240.47555541992188,97.68289184570312
2018-01-09,55.95814895629883,124.7300033569336,139.02008056640625,153.9107208251953,241.01979064941406,96.37657928466797
2018-01-10,55.84996032714844,125.02999877929688,139.0380859375,153.5509033203125,240.65106201171875,96.25997924804688
2018-01-11,56.236351013183594,125.44000244140625,141.42660522460938,154.6018524169922,242.40692138671875,96.656494140625
2018-01-12,56.800498962402344,126.95999908447266,142.01919555664062,155.73800659179688,243.98712158203125,96.81976318359375
2018-01-16,56.74639892578125,127.16999816894531,140.2053985595703,155.29302978515625,243.153076171875,97.22413635253906
2018-01-17,57.04006576538086,126.13999938964844,141.5343475341797,156.96884155273438,245.47080993652344,97.0919189453125
2018-01-18,56.97050857543945,125.86000061035156,140.5645751953125,156.9972686767578,245.0581817626953,96.18997192382812
2018-01-19,57.2873420715332,126.41999816894531,142.41432189941406,157.4895477294922,246.17315673828125,95.68461608886719
2018-01-22,57.58101272583008,126.6500015258789,143.17758178710938,159.1748504638672,248.1746368408203,95.77790069580078
2018-01-23,57.7664794921875,127.27999877929688,143.63555908203125,160.4909210205078,248.70144653320312,96.18997192382812
2018-01-24,57.866947174072266,128.8300018310547,142.74655151367188,159.44940185546875,248.60488891601562,95.66902923583984
2018-01-25,57.642845153808594,127.97000122070312,142.80044555664062,159.39260864257812,248.71026611328125,96.45433044433594
2018-01-26,58.15287780761719,128.07000732421875,143.31227111816406,161.83535766601562,251.58975219726562,96.0966567993164
2018-01-29,57.619667053222656,127.3499984741211,142.50413513183594,161.04954528808594,249.92176818847656,95.42798614501953
2018-01-30,57.14053726196289,126.80000305175781,141.1392059326172,159.72396850585938,247.35829162597656,94.86814880371094
2018-01-31,57.06324005126953,127.6500015258789,140.40293884277344,160.38677978515625,247.48109436035156,95.42798614501953
2018-02-01,57.22552490234375,128.07000732421875,140.84292602539062,159.02340698242188,247.20028686523438,94.04497528076172
2018-02-02,56.06633758544922,126.38999938964844,138.1311492919922,155.8516082763672,241.81875610351562,93.17229461669922
2018-02-05,53.717041015625,126.70999908447266,132.82427978515625,149.70692443847656,231.70518493652344,94.05274963378906
2018-02-06,54.77577590942383,125.37999725341797,134.4136199951172,153.6739501953125,236.27040100097656,93.4683837890625
2018-02-07,54.196163177490234,124.79000091552734,134.54830932617188,151.6857452392578,234.98863220214844,92.58013916015625
2018-02-08,52.781959533691406,124.9800033569336,130.5973663330078,145.28543090820312,226.17445373535156,92.47882080078125
2018-02-09,53.006065368652344,124.7699966430664,131.79159545898438,147.79443359375,229.57192993164062,91.89447021484375
2018-02-12,53.81749725341797,125.37000274658203,133.03977966308594,150.4170379638672,232.94308471679688,92.29961395263672
2018-02-13,53.65522003173828,126.08000183105469,133.3270721435547,151.19332885742188,233.52249145507812,92.71260070800781
2018-02-14,54.60576629638672,128.22999572753906,135.72463989257812,154.02426147460938,236.67417907714844,91.68408966064453
2018-02-15,54.9457893371582,128.3800048828125,137.20620727539062,156.88360595703125,239.69412231445312,91.99578857421875
2018-02-16,55.19308090209961,127.95999908447266,137.69114685058594,156.18301391601562,239.76438903808594,92.494384765625
2018-02-20,54.6753044128418,126.23999786376953,136.5597381591797,156.49545288085938,238.26319885253906,92.08929443359375
2018-02-21,54.412567138671875,125.66000366210938,136.70333862304688,156.0504150390625,237.07797241210938,90.95950317382812
2018-02-22,54.698490142822266,126.30000305175781,136.48789978027344,156.0314483642578,237.38525390625,91.23219299316406
2018-02-23,55.131256103515625,126.13999938964844,138.26583862304688,159.22219848632812,241.1690216064453,92.04251861572266
2018-02-26,55.64902114868164,126.44999694824219,139.17279052734375,161.33351135253906,243.9695587158203,92.0737075805664
2018-02-27,54.82213592529297,125.12999725341797,137.17030334472656,159.33583068847656,240.9231719970703,91.94123077392578
2018-02-28,54.304351806640625,125.0,135.0063018798828,158.31326293945312,238.482666015625,92.52558898925781
2018-03-01,53.3924674987793,124.72000122070312,134.64710998535156,155.72854614257812,235.01495361328125,93.15721130371094
2018-03-02,53.64748764038086,125.38999938964844,136.80223083496094,157.158203125,236.2265167236328,92.3998794555664
2018-03-05,53.93342971801758,125.18000030517578,138.02340698242188,158.90029907226562,238.95672607421875,92.1500473022461
2018-03-06,54.250274658203125,126.52999877929688,139.51393127441406,159.57252502441406,239.56246948242188,92.2359619140625
2018-03-07,54.23481750488281,125.72000122070312,140.74412536621094,159.94171142578125,239.47476196289062,92.13447570800781
2018-03-08,54.35073471069336,125.41999816894531,140.45677185058594,160.82232666015625,240.63356018066406,92.66532897949219
2018-03-09,54.698490142822266,125.54000091552734,142.70167541503906,163.9467010498047,244.82113647460938,92.056396484375
2018-03-12,54.76032257080078,125.54000091552734,142.95309448242188,164.8177490234375,244.51382446289062,92.5872573852539
2018-03-13,54.39710235595703,125.77999877929688,142.28860473632812,162.5738983154297,242.93360900878906,93.05570983886719
2018-03-14,54.528465270996094,125.69999694824219,141.61514282226562,162.54542541503906,241.68699645996094,93.87548065185547
2018-03-15,54.49755859375,124.9000015258789,140.90577697753906,162.40342712402344,241.42367553710938,93.87548065185547
2018-03-16,54.45893478393555,124.5999984741211,141.69601440429688,161.92059326171875,241.6853790283203,93.53976440429688
2018-03-19,54.01844024658203,124.87000274658203,140.3311004638672,158.46583557128906,238.415283203125,93.24310302734375
2018-03-20,54.010704040527344,124.30999755859375,140.29518127441406,158.98736572265625,238.8208770751953,92.86832427978516
2018-03-21,54.095706939697266,126.4800033569336,141.11231994628906,158.29507446289062,238.3624267578125,92.96986389160156
2018-03-22,53.09108352661133,125.9800033569336,138.01805114746094,154.38795471191406,232.40402221679688,93.89110565185547
2018-03-23,52.50374221801758,127.61000061035156,135.04800415039062,150.3196563720703,227.4504852294922,93.82085418701172
2018-03-26,53.446556091308594,128.27999877929688,138.0,155.90528869628906,233.6732940673828,93.46172332763672
2018-03-27,53.052433013916016,127.48999786376953,135.32696533203125,150.86019897460938,229.6981201171875,94.4610595703125
2018-03-28,53.36155319213867,125.7300033569336,135.28201293945312,149.12478637695312,229.01942443847656,94.7108383178711
2018-03-29,53.84841537475586,125.79000091552734,136.64999389648438,151.85594177246094,231.94573974609375,95.17147064208984
2018-04-02,53.10653305053711,127.26000213623047,133.31997680664062,147.47467041015625,226.9392547607422,95.35928344726562
2018-04-03,53.446556091308594,126.30000305175781,135.2279815673828,149.1342010498047,229.84796142578125,94.62384033203125
2018-04-04,53.63203811645508,126.44999694824219,136.94705200195312,151.48611450195312,232.3070831298828,94.4282455444336
2018-04-05,53.98752212524414,125.80000305175781,138.0810546875,152.34909057617188,234.1405029296875,93.72406768798828
2018-04-06,53.63203811645508,126.38999938964844,135.32696533203125,148.5367889404297,228.92247009277344,94.7490005493164
2018-04-09,54.07251739501953,126.81999969482422,135.4889678955078,149.57994079589844,230.05062866210938,94.90547180175781
2018-04-10,54.65213394165039,127.12000274658203,138.04507446289062,152.880126953125,233.7085723876953,94.73336791992188
2018-04-11,54.44345474243164,128.11000061035156,138.34202575683594,151.99822998046875,232.48333740234375,95.06976318359375
2018-04-12,54.65213394165039,126.62000274658203,139.2870330810547,153.82846069335938,234.39602661132812,94.37345886230469
2018-04-13,54.70621871948242,127.44999694824219,138.55809020996094,153.03187561035156,233.7085723876953,94.59252166748047
2018-04-16,54.79122543334961,127.62999725341797,139.83604431152344,154.19837951660156,235.6300506591797,94.62384033203125
2018-04-17,55.03853225708008,127.75,141.35708618164062,157.51748657226562,238.15093994140625,94.88203430175781
2018-04-18,55.32445526123047,127.8499984741211,141.73512268066406,157.83987426757812,238.3272247314453,94.12306213378906
2018-04-19,55.11579895019531,127.5999984741211,140.75408935546875,156.3889617919922,237.0050811767578,93.35633850097656
2018-04-20,54.90715026855469,126.62999725341797,139.9980926513672,153.91380310058594,234.9954376220703,92.68344116210938
2018-04-23,54.83758544921875,125.62000274658203,139.79107666015625,153.52500915527344,234.96017456054688,92.70690155029297
2018-04-24,54.61347198486328,126.2300033569336,138.9900665283203,150.27224731445312,231.7958984375,92.28443908691406
2018-04-25,54.520748138427734,125.41000366210938,138.78306579589844,150.452392578125,232.36878967285156,91.66634368896484
2018-04-26,54.79122543334961,124.97000122070312,139.4220428466797,153.61985778808594,234.7310333251953,92.30792236328125
2018-04-27,54.84532165527344,125.5,139.22409057617188,153.71466064453125,234.95135498046875,93.0198974609375
2018-04-30,54.667572021484375,124.58999633789062,137.9910125732422,152.6240997314453,233.14443969726562,93.1841812133789
2018-05-01,54.47438049316406,123.70999908447266,138.6660919189453,154.36904907226562,233.5587158203125,92.8486099243164
2018-05-02,54.45119094848633,123.6500015258789,139.1880340576172,153.45860290527344,231.98983764648438,92.74665832519531
2018-05-03,54.62120819091797,124.27999877929688,138.4320526123047,153.4396514892578,231.47854614257812,93.16224670410156
2018-05-04,54.81440734863281,124.54000091552734,140.1600799560547,156.35098266601562,234.47532653808594,93.30339050292969
2018-05-07,54.82213592529297,124.56999969482422,141.34811401367188,157.65025329589844,235.26876831054688,93.1544189453125
2018-05-08,54.82986068725586,124.58999633789062,142.05010986328125,157.48902893066406,235.26876831054688,93.06812286376953
2018-05-09,54.96125793457031,124.33000183105469,142.81517028808594,159.2055206298828,237.54278564453125,92.51144409179688
2018-05-10,55.31671905517578,125.18000030517578,143.5801544189453,160.8556365966797,239.7639923095703,93.2563247680664
2018-05-11,55.46354293823242,125.0,143.85919189453125,160.70379638671875,240.49554443359375,93.4915771484375
2018-05-14,55.56403732299805,124.48999786376953,143.3101348876953,160.9788818359375,240.61007690429688,92.9975814819336
2018-05-15,55.16215515136719,122.4800033569336,143.33717346191406,159.19601440429688,238.9529571533203,91.93904876708984
2018-05-16,55.23945236206055,122.29000091552734,144.8312225341797,160.24867248535156,239.95785522460938,91.58615112304688
2018-05-17,55.32445526123047,122.36000061035156,145.49720764160156,159.6322479248047,239.755126953125,91.1235122680664
2018-05-18,55.1235237121582,122.41000366210938,145.6862030029297,158.80722045898438,239.15565490722656,91.9076156616211
2018-05-21,55.47128677368164,122.4800033569336,146.64926147460938,159.69862365722656,240.953857421875,91.95467376708984
2018-05-22,55.40174102783203,122.41000366210938,145.587158203125,159.49000549316406,240.28399658203125,91.81353759765625
2018-05-23,54.79122543334961,122.54000091552734,145.77622985839844,160.83663940429688,240.945068359375,92.48005676269531
2018-05-24,54.62120819091797,123.58999633789062,145.83018493652344,160.7892303466797,240.45144653320312,93.21714782714844
2018-05-25,54.26572799682617,123.20999908447266,145.56922912597656,160.95042419433594,239.87850952148438,93.79739379882812
2018-05-29,53.16062927246094,123.19000244140625,145.37120056152344,160.23919677734375,237.11964416503906,95.85179138183594
2018-05-30,53.97206115722656,123.37000274658203,147.6752471923828,161.38665771484375,240.28399658203125,95.20880889892578
2018-05-31,53.63203811645508,123.0999984741211,146.49624633789062,161.28233337402344,238.81198120117188,95.052001953125
2018-06-01,54.095706939697266,122.48999786376953,147.4592742919922,163.8144073486328,241.15655517578125,94.54977416992188
2018-06-04,54.25799560546875,122.37000274658203,148.24229431152344,165.2937469482422,242.302490234375,93.86599731445312
2018-06-05,54.1729850769043,122.8499984741211,149.1602783203125,165.805908203125,242.4787139892578,94.08606719970703
2018-06-06,54.65985107421875,122.91999816894531,150.24032592773438,166.7731475830078,244.50588989257812,93.32369232177734
2018-06-07,54.35073471069336,122.86000061035156,149.42129516601562,165.41705322265625,244.4795379638672,94.22752380371094
2018-06-08,54.412567138671875,123.01000213623047,149.87127685546875,165.42654418945312,245.20225524902344,93.94459533691406
2018-06-11,54.76032257080078,123.2300033569336,150.0963134765625,165.87225341796875,245.5284423828125,93.77169036865234
2018-06-12,54.412567138671875,122.81999969482422,150.7803192138672,166.74472045898438,245.8456573486328,93.79521942138672
2018-06-13,54.48983383178711,123.19000244140625,150.186279296875,166.73524475097656,245.0613250732422,93.74810028076172
2018-06-14,54.3739128112793,123.37999725341797,150.98731994628906,168.4232635498047,245.6782684326172,94.52616119384766
2018-06-15,54.095706939697266,121.33999633789062,151.03233337402344,167.83529663085938,245.36488342285156,94.61266326904297
2018-06-18,53.709320068359375,121.11000061035156,151.74331665039062,167.73829650878906,244.86012268066406,94.52616119384766
2018-06-19,53.2159309387207,120.80000305175781,151.75234985351562,167.26318359375,243.92164611816406,95.07636260986328
2018-06-20,53.255332946777344,120.26000213623047,152.97633361816406,168.45114135742188,244.33787536621094,94.24323272705078
2018-06-21,52.87701416015625,120.05000305175781,151.54537963867188,166.98757934570312,242.8060760498047,94.73841094970703
2018-06-22,53.43661117553711,120.33999633789062,151.04129028320312,166.61692810058594,243.24879455566406,94.73051452636719
2018-06-25,52.69574737548828,119.88999938964844,148.57528686523438,162.8629913330078,239.93751525878906,94.94274139404297
2018-06-26,52.79032897949219,119.26000213623047,149.4392852783203,163.52830505371094,240.46871948242188,95.07636260986328
2018-06-27,52.293792724609375,118.58000183105469,147.04527282714844,161.30442810058594,238.47659301757812,95.97232818603516
2018-06-28,52.4908332824707,118.22000122070312,147.49522399902344,162.69192504882812,239.84017944335938,95.99595642089844
2018-06-29,52.782447814941406,118.6500015258789,147.396240234375,163.1291046142578,240.18540954589844,95.66582489013672
2018-07-02,52.301673889160156,117.45999908447266,148.41326904296875,164.22201538085938,240.6989288330078,95.59100341796875
2018-07-03,52.45930480957031,118.6500015258789,149.0049285888672,162.32127380371094,239.84890747070312,96.10303497314453
2018-07-05,52.979488372802734,119.05000305175781,150.70309448242188,164.33609008789062,241.80551147460938,96.378662109375
2018-07-06,53.26321792602539,118.86000061035156,151.9766845703125,166.892578125,243.85084533691406,96.69380187988281
2018-07-09,53.775516510009766,119.1500015258789,152.93418884277344,168.39407348632812,246.04666137695312,96.0715103149414
2018-07-10,53.751869201660156,118.93000030517578,152.2386474609375,168.51763916015625,246.9318084716797,96.06364440917969
2018-07-11,52.8533821105957,117.63999938964844,150.94699096679688,167.6623077392578,245.12574768066406,96.4338607788086
2018-07-12,53.26321792602539,118.12999725341797,151.6785888671875,170.55142211914062,247.34808349609375,96.42597961425781
2018-07-13,53.4287223815918,117.61000061035156,151.22698974609375,170.69395446777344,247.5428924560547,96.67015075683594
2018-07-16,53.40507888793945,117.55000305175781,150.63983154296875,170.28529357910156,247.3214569091797,96.26842498779297
2018-07-17,53.49966049194336,116.27999877929688,151.3083038330078,171.3211669921875,248.322021484375,96.08729553222656
2018-07-18,53.50754165649414,116.30999755859375,151.7328338623047,170.9980926513672,248.84432983398438,95.70125579833984
2018-07-19,53.3972053527832,115.80999755859375,152.8076934814453,170.14273071289062,247.90586853027344,96.30780029296875
2018-07-20,53.64940643310547,116.55999755859375,152.18443298339844,170.10472106933594,247.62255859375,95.12621307373047
2018-07-23,53.64940643310547,116.0,152.37417602539062,170.6464080810547,248.0829620361328,93.95252227783203
2018-07-24,53.96467971801758,116.04000091552734,150.7482452392578,171.34974670410156,249.33128356933594,94.27549743652344
2018-07-25,54.36663055419922,116.68000030517578,151.2992401123047,173.74459838867188,251.4562225341797,94.1258316040039
2018-07-26,54.122291564941406,115.7699966430664,152.11215209960938,171.1121063232422,250.86305236816406,93.94464874267578
2018-07-27,54.22477340698242,115.83000183105469,149.27587890625,168.80279541015625,249.16307067871094,94.10213470458984
2018-07-30,54.21688461303711,115.6500015258789,148.31842041015625,166.41732788085938,247.86163330078125,93.77918243408203
2018-07-31,54.28780746459961,115.98999786376953,149.82688903808594,167.69085693359375,249.08348083496094,94.291259765625
2018-08-01,54.011966705322266,115.13999938964844,149.72752380371094,168.32754516601562,248.66726684570312,93.52305603027344
2018-08-02,53.657291412353516,114.5199966430664,150.8205108642578,170.617919921875,250.0219268798828,93.65727233886719
2018-08-03,53.68881607055664,114.91999816894531,150.296630859375,171.140625,251.09324645996094,94.1230697631836
2018-08-06,53.460262298583984,114.33000183105469,151.13662719726562,172.1480255126953,252.01402282714844,94.17832946777344
2018-08-07,53.87797546386719,114.58999633789062,151.49790954589844,172.7752685546875,252.8462371826172,93.68885803222656
2018-08-08,53.8306884765625,114.91000366210938,151.3624725341797,172.98434448242188,252.739990234375,93.78357696533203
2018-08-09,53.673057556152344,114.73999786376953,151.75088500976562,172.87977600097656,252.3946990966797,94.57311248779297
2018-08-10,52.60116958618164,114.69000244140625,151.3263397216797,171.55880737304688,250.7036590576172,95.25993347167969
2018-08-13,52.41202163696289,112.95999908447266,150.4411163330078,171.3686981201172,249.7652130126953,95.06255340576172
2018-08-14,52.40412902832031,113.06999969482422,151.93157958984375,172.44261169433594,251.35888671875,94.84939575195312
2018-08-15,51.64751434326172,111.19000244140625,150.025634765625,170.33282470703125,249.48187255859375,95.40205383300781
2018-08-16,52.01005935668945,111.0999984741211,151.4166259765625,170.89353942871094,251.50042724609375,95.39417266845703
2018-08-17,52.317440032958984,112.12999725341797,152.06700134277344,170.93157958984375,252.38589477539062,95.5125961303711
2018-08-20,52.60116958618164,112.69000244140625,152.4915313720703,170.77952575683594,252.92596435546875,96.15206146240234
